drugbank_id	zinc_id
DB00252	ZINC000002510358
DB00252	ZINC000195818976
DB00253	ZINC000003977945
DB00253	ZINC000003977946
DB00253	ZINC000003977947
DB00253	ZINC000004556826
DB00253	ZINC000007997754
DB00253	ZINC000245204770
DB00253	ZINC000245204771
DB00253	ZINC000253617978
DB00253	ZINC000253617979
DB00253	ZINC000253920585
DB00253	ZINC000253920589
DB00253	ZINC000253920595
DB00253	ZINC000299872507
DB00253	ZINC000299872508
DB00254	ZINC000001530626
DB00254	ZINC000001851098
DB00254	ZINC000004245687
DB00254	ZINC000008034239
DB00254	ZINC000008681705
DB00254	ZINC000011592655
DB00254	ZINC000011592656
DB00254	ZINC000013783291
DB00254	ZINC000013815702
DB00254	ZINC000014984389
DB00254	ZINC000016052277
DB00254	ZINC000016248871
DB00254	ZINC000016248873
DB00254	ZINC000019203888
DB00254	ZINC000019203897
DB00254	ZINC000021984604
DB00254	ZINC000028713782
DB00254	ZINC000035024602
DB00254	ZINC000035024605
DB00254	ZINC000035024607
DB00254	ZINC000036377967
DB00254	ZINC000036379569
DB00254	ZINC000036386945
DB00254	ZINC000106046010
DB00254	ZINC000216151798
DB00254	ZINC000227256849
DB00254	ZINC000227256860
DB00254	ZINC000239322021
DB00254	ZINC000584578802
DB00254	ZINC000584578803
DB00255	ZINC000000001290
DB00255	ZINC000000056544
DB00256	ZINC000053682936
DB00256	ZINC000060392747
DB00256	ZINC000072131512
DB00256	ZINC000306120941
DB00256	ZINC000306120942
DB00256	ZINC000306120943
DB00257	ZINC000003807804
DB00258	ZINC000005224164
DB00259	ZINC000000002101
DB00260	ZINC000034676244
DB00260	ZINC000034676245
DB00262	ZINC000003830387
DB00263	ZINC000096006009
DB00264	ZINC000001530717
DB00264	ZINC000001530718
DB00265	ZINC000000056427
DB00265	ZINC000012503076
DB00266	ZINC000003869855
DB00267	ZINC000003830413
DB00267	ZINC000003830414
DB00267	ZINC000003830415
DB00267	ZINC000003830416
DB00267	ZINC000003871927
DB00267	ZINC000004676376
DB00267	ZINC000011616517
DB00267	ZINC000026892366
DB00267	ZINC000242498505
DB00268	ZINC000000002041
DB00269	ZINC000001530598
DB00270	ZINC000000607939
DB00270	ZINC000100001918
DB00271	ZINC000004097476
DB00271	ZINC000100521477
DB00271	ZINC000150340266
DB00272	ZINC000000001028
DB00273	ZINC000001543366
DB00273	ZINC000003831557
DB00273	ZINC000003831558
DB00273	ZINC000003831559
