drugbank_id	rhea_id
DB03484	143890
DB03485	2179
DB03485	2181
DB03485	27586
DB03485	27907
DB03485	42548
DB03485	42589
DB03485	62346
DB03489	57989
DB03489	57990
DB03489	75545
DB03491	58595
DB03493	20794
DB03497	57531
DB03499	15588
DB03499	15589
DB03499	15595
DB03501	58885
DB03501	66914
DB03511	58658
DB03511	58720
DB03511	75525
DB03511	85312
DB03511	85313
DB03512	15377
DB03514	42438
DB03517	18071
DB03518	36464
DB03528	16335
DB03542	58401
DB03542	58433
DB03542	58469
DB03542	64841
DB03542	84141
DB03542	84142
DB03548	85986
DB03550	58399
DB03550	58408
DB03552	78290
DB03553	30921
DB03559	17945
DB03560	17597
DB03566	57834
DB03567	21601
DB03567	28037
DB03567	28497
DB03567	40356
DB03567	44278
DB03567	506227
DB03568	17968
DB03581	57584
DB03581	58255
DB03581	58328
DB03582	58514
DB03587	17158
DB03589	17121
DB03590	57609
DB03590	57791
DB03593	58285
DB03600	27689
DB03601	28777
DB03603	16537
DB03603	21332
DB03603	30612
DB03603	37547
DB03612	57315
DB03612	57316
DB03612	78611
DB03614	28115
DB03614	48828
DB03615	65028
DB03618	16153
DB03618	60152
DB03618	76821
DB03619	137662
DB03619	23614
DB03619	87733
DB03633	75216
DB03635	61909
DB03640	57251
DB03640	58196
DB03640	60894
DB03640	60898
DB03644	36559
DB03652	58658
DB03652	58720
DB03652	75525
DB03652	85312
DB03652	85313
DB03661	58090
DB03675	49258
DB03680	17649
DB03685	57865
DB03687	57823
DB03688	16510
DB03690	74669
DB03696	16521
DB03699	57292
DB03700	57757
DB03700	57926
DB03700	58585
DB03700	58645
DB03703	18099
DB03704	36204
DB03708	58243
DB03716	12060
DB03720	48306
DB03721	35418
DB03721	58705
DB03721	58770
DB03723	57510
