drugbank_id	molport_id
DB00324	MolPort-044-193-339
DB00325	MolPort-003-926-312
DB00328	MolPort-000-917-894
DB00328	MolPort-003-848-181
DB00330	MolPort-003-847-110
DB00330	MolPort-006-110-202
DB00330	MolPort-038-949-879
DB00331	MolPort-002-929-560
DB00331	MolPort-005-767-418
DB00332	MolPort-003-848-225
DB00332	MolPort-003-983-442
DB00332	MolPort-005-976-538
DB00332	MolPort-006-069-092
DB00332	MolPort-027-946-829
DB00332	MolPort-035-924-120
DB00332	MolPort-039-139-295
DB00332	MolPort-039-343-880
DB00332	MolPort-046-417-339
DB00334	MolPort-002-885-845
DB00334	MolPort-035-395-288
DB00334	MolPort-039-052-238
DB00335	MolPort-002-507-840
DB00336	MolPort-000-886-370
DB00337	MolPort-003-666-749
DB00337	MolPort-008-155-973
DB00337	MolPort-046-684-033
DB00337	MolPort-046-684-132
DB00339	MolPort-001-770-770
DB00339	MolPort-023-219-632
DB00340	MolPort-035-683-712
DB00341	MolPort-000-741-791
DB00341	MolPort-000-832-941
DB00341	MolPort-002-506-309
DB00341	MolPort-003-983-419
DB00341	MolPort-005-935-334
DB00341	MolPort-039-139-604
DB00341	MolPort-046-418-323
DB00342	MolPort-002-904-065
DB00343	MolPort-000-740-573
DB00343	MolPort-003-931-523
DB00343	MolPort-023-220-208
DB00343	MolPort-027-564-878
DB00344	MolPort-003-959-364
DB00345	MolPort-001-792-130
DB00345	MolPort-004-285-595
DB00345	MolPort-044-545-777
DB00346	MolPort-003-666-623
DB00346	MolPort-006-391-851
DB00347	MolPort-001-846-840
DB00348	MolPort-006-167-523
DB00348	MolPort-046-690-616
DB00350	MolPort-003-666-236
DB00350	MolPort-003-849-228
DB00350	MolPort-027-836-019
DB00351	MolPort-002-509-747
DB00351	MolPort-003-666-225
DB00351	MolPort-005-934-820
DB00351	MolPort-005-971-778
DB00351	MolPort-006-394-861
DB00352	MolPort-000-929-106
DB00352	MolPort-001-813-204
DB00352	MolPort-003-665-495
DB00353	MolPort-003-666-807
DB00354	MolPort-006-110-855
DB00355	MolPort-002-676-388
DB00355	MolPort-003-886-345
DB00355	MolPort-008-266-664
DB00355	MolPort-046-691-922
DB00356	MolPort-001-759-947
DB00356	MolPort-006-110-468
DB00358	MolPort-003-981-155
DB00358	MolPort-005-933-138
DB00358	MolPort-006-170-692
DB00358	MolPort-023-278-202
DB00359	MolPort-000-629-738
DB00359	MolPort-003-850-338
DB00359	MolPort-003-986-619
DB00359	MolPort-019-998-553
DB00359	MolPort-028-603-008
