drugbank_id	mcule_id
DB00712	MCULE-3439710050
DB00712	MCULE-4306860727
DB00712	MCULE-8891184661
DB00713	MCULE-4344643806
DB00713	MCULE-5739405503
DB00713	MCULE-7811795356
DB00714	MCULE-1576765478
DB00714	MCULE-3200317958
DB00714	MCULE-3573223658
DB00714	MCULE-5394188233
DB00714	MCULE-9473570372
DB00715	MCULE-3027579794
DB00715	MCULE-3717318507
DB00717	MCULE-9156628994
DB00717	MCULE-9405848361
DB00718	MCULE-6257358029
DB00719	MCULE-6797850777
DB00721	MCULE-3361980012
DB00721	MCULE-4132571573
DB00721	MCULE-8861116126
DB00722	MCULE-4169282145
DB00722	MCULE-5786317132
DB00722	MCULE-5869146518
DB00722	MCULE-6362024113
DB00722	MCULE-6420885026
DB00722	MCULE-6578012434
DB00722	MCULE-7038916856
DB00722	MCULE-7813362088
DB00723	MCULE-1220066468
DB00723	MCULE-8719716451
DB00724	MCULE-9421195760
DB00725	MCULE-1966757857
DB00725	MCULE-4330080118
DB00725	MCULE-6124492894
DB00730	MCULE-3720823189
DB00731	MCULE-4748076858
DB00731	MCULE-7493904901
DB00731	MCULE-9834672126
DB00732	MCULE-3169739755
DB00733	MCULE-2476744627
DB00733	MCULE-2972025648
DB00733	MCULE-6599360242
DB00733	MCULE-8181216389
DB00733	MCULE-9475708961
DB00734	MCULE-4027175053
DB00736	MCULE-3224208952
DB00736	MCULE-4703978981
DB00737	MCULE-4211025798
DB00737	MCULE-6706083805
DB00737	MCULE-7463916552
DB00738	MCULE-6357662093
DB00738	MCULE-8512828218
DB00740	MCULE-9362288181
DB00741	MCULE-4822409054
DB00741	MCULE-8646276663
DB00741	MCULE-8754465245
DB00741	MCULE-8953627920
DB00742	MCULE-5520163874
DB00742	MCULE-8905907565
DB00743	MCULE-4909487075
DB00744	MCULE-7670046922
DB00745	MCULE-6678415272
DB00746	MCULE-3095507442
DB00747	MCULE-1099479602
DB00747	MCULE-1606329466
DB00747	MCULE-8770434436
DB00749	MCULE-4670364261
DB00750	MCULE-7176365958
DB00750	MCULE-7993425453
DB00752	MCULE-4252215835
DB00752	MCULE-7015811838
DB00752	MCULE-7453146081
DB00752	MCULE-8329086870
DB00753	MCULE-2586244040
DB00754	MCULE-6544505383
DB00755	MCULE-2591910021
DB00756	MCULE-3028228047
DB00758	MCULE-2362021814
DB00758	MCULE-4792993119
DB00758	MCULE-9061369538
DB00759	MCULE-2901510287
DB00759	MCULE-3110110253
DB00759	MCULE-3187697704
DB00759	MCULE-3752961261
DB00759	MCULE-8111555447
DB00759	MCULE-9174708419
DB00761	MCULE-5932450224
DB00761	MCULE-7728164114
DB00762	MCULE-1702653278
DB00762	MCULE-3850427409
DB00763	MCULE-9902292741
DB00765	MCULE-1700935161
DB00765	MCULE-4720986345
DB00765	MCULE-5340647798
DB00765	MCULE-9990457253
DB00766	MCULE-3963000692
DB00766	MCULE-4812275143
DB00766	MCULE-5161527312
DB00766	MCULE-6171735649
DB00766	MCULE-9174959968
DB00770	MCULE-5248179465
DB00771	MCULE-6671202274
DB00771	MCULE-6993268975
DB00773	MCULE-2925340242
