drugbank_id	lincs_id
DB00656	LSM-3580
DB00657	LSM-4990
DB00659	LSM-43113
DB00660	LSM-1929
DB00661	LSM-1298
DB00661	LSM-45139
DB00662	LSM-2750
DB00663	LSM-1241
DB00663	LSM-3369
DB00663	LSM-5872
DB00665	LSM-2513
DB00668	LSM-45900
DB00668	LSM-4958
DB00670	LSM-4001
DB00671	LSM-44950
DB00671	LSM-5644
DB00672	LSM-6695
DB00673	LSM-45261
DB00673	LSM-5350
DB00673	LSM-5637
DB00674	LSM-1597
DB00674	LSM-5604
DB00675	LSM-2966
DB00675	LSM-42959
DB00678	LSM-3701
DB00679	LSM-1863
DB00680	LSM-2476
DB00681	LSM-43304
DB00681	LSM-5443
DB00682	LSM-1405
DB00682	LSM-5404
DB00683	LSM-5200
DB00684	LSM-6467
DB00684	LSM-6534
DB00685	LSM-45386
DB00688	LSM-43041
DB00691	LSM-2751
DB00692	LSM-4022
DB00694	LSM-1731
DB00694	LSM-2962
DB00694	LSM-4891
DB00694	LSM-5967
DB00695	LSM-5847
DB00697	LSM-5242
DB00698	LSM-6522
DB00699	LSM-3720
DB00699	LSM-5852
DB00699	LSM-6518
DB00700	LSM-1524
DB00700	LSM-42771
DB00703	LSM-5311
DB00704	LSM-1721
DB00704	LSM-1850
DB00704	LSM-3962
DB00706	LSM-45903
DB00708	LSM-45544
DB00709	LSM-5215
DB00710	LSM-4279
DB00711	LSM-3009
DB00712	LSM-5174
DB00713	LSM-4952
DB00713	LSM-6005
DB00714	LSM-25611
DB00714	LSM-43266
DB00714	LSM-4413
DB00715	LSM-2843
DB00715	LSM-5101
DB00717	LSM-1520
DB00717	LSM-4061
DB00717	LSM-5395
DB00720	LSM-5802
DB00721	LSM-5396
DB00722	LSM-5756
DB00723	LSM-4423
DB00724	LSM-5408
DB00725	LSM-4438
DB00726	LSM-1371
DB00728	LSM-45869
DB00730	LSM-3741
DB00731	LSM-3892
DB00731	LSM-5555
DB00732	LSM-45935
DB00732	LSM-5147
DB00733	LSM-44532
DB00733	LSM-5708
DB00734	LSM-3193
DB00735	LSM-3661
DB00735	LSM-43018
DB00736	LSM-1651
DB00736	LSM-44961
DB00737	LSM-1607
DB00738	LSM-4540
DB00740	LSM-2471
DB00741	LSM-1785
DB00741	LSM-5980
DB00741	LSM-6492
DB00741	LSM-6649
DB00742	LSM-36877
DB00742	LSM-45695
DB00744	LSM-5084
DB00745	LSM-1343
DB00745	LSM-45603
DB00746	LSM-6541
DB00747	LSM-1330
DB00747	LSM-1684
DB00747	LSM-4015
DB00747	LSM-46039
DB00748	LSM-1435
DB00749	LSM-1781
DB00749	LSM-6021
DB00750	LSM-5078
DB00751	LSM-45639
DB00752	LSM-1562
DB00752	LSM-5578
DB00752	LSM-5943
DB00754	LSM-1440
DB00755	LSM-2135
DB00755	LSM-42854
DB00755	LSM-42855
DB00755	LSM-42856
DB00756	LSM-6032
DB00757	LSM-45241
DB00757	LSM-5418
DB00758	LSM-15331
