drugbank_id	metabolights_id
DB01113	MTBLC28241
DB01115	MTBLC7565
DB01124	MTBLC27999
DB01152	MTBLC3349
DB01160	MTBLC15553
DB01160	MTBLC27595
DB01160	MTBLC28922
DB01160	MTBLC57404
DB01160	MTBLC85173
DB01160	MTBLC90827
DB01164	MTBLC17883
DB01164	MTBLC17996
DB01164	MTBLC29108
DB01172	MTBLC17630
DB01172	MTBLC58214
DB01177	MTBLC31686
DB01177	MTBLC42068
DB01177	MTBLC93496
DB01177	MTBLC94972
DB01179	MTBLC50305
DB01179	MTBLC75251
DB01180	MTBLC28572
DB01180	MTBLC92923
DB01183	MTBLC7459
DB01183	MTBLC90756
DB01192	MTBLC7865
DB01199	MTBLC9774
DB01200	MTBLC3181
DB01200	MTBLC91779
DB01200	MTBLC91830
DB01200	MTBLC91882
DB01200	MTBLC94726
DB01223	MTBLC28177
DB01229	MTBLC45863
DB01235	MTBLC15765
DB01235	MTBLC49168
DB01235	MTBLC49169
DB01235	MTBLC57504
DB01235	MTBLC67012
DB01238	MTBLC31236
DB01240	MTBLC15552
DB01240	MTBLC57403
DB01253	MTBLC4822
DB01253	MTBLC91849
DB01265	MTBLC17748
DB01294	MTBLC15377
DB01294	MTBLC16234
DB01294	MTBLC16914
DB01294	MTBLC29374
DB01294	MTBLC29375
DB01294	MTBLC29412
DB01294	MTBLC30762
DB01294	MTBLC33806
DB01294	MTBLC33811
DB01294	MTBLC33813
DB01294	MTBLC41981
DB01296	MTBLC140810
DB01296	MTBLC144817
DB01296	MTBLC28393
DB01296	MTBLC39610
DB01296	MTBLC44678
DB01296	MTBLC47977
DB01296	MTBLC58723
DB01296	MTBLC60312
DB01301	MTBLC63334
DB01303	MTBLC15354
DB01321	MTBLC31739
DB01345	MTBLC29103
DB01346	MTBLC137041
DB01346	MTBLC15854
DB01346	MTBLC28593
DB01346	MTBLC94416
DB01346	MTBLC94816
DB01346	MTBLC95172
DB01364	MTBLC132296
DB01364	MTBLC15407
DB01364	MTBLC51209
DB01364	MTBLC57295
DB01375	MTBLC15377
DB01375	MTBLC16234
DB01375	MTBLC25629
DB01375	MTBLC28842
DB01375	MTBLC29374
DB01375	MTBLC29375
DB01375	MTBLC29412
DB01375	MTBLC33806
DB01375	MTBLC33811
DB01375	MTBLC33813
DB01375	MTBLC41981
DB01390	MTBLC17544
DB01390	MTBLC28976
DB01390	MTBLC29101
DB01390	MTBLC41609
DB01392	MTBLC10093
DB01392	MTBLC141949
DB01392	MTBLC48562
DB01392	MTBLC48565
DB01392	MTBLC48567
DB01392	MTBLC91937
DB01392	MTBLC92122
DB01392	MTBLC94821
DB01392	MTBLC95184
DB01394	MTBLC23359
DB01394	MTBLC27882
