drugbank_id	nikkaji_id
DB00254	J806.569A
DB00254	J83.248K
DB00255	J113.282B
DB00255	J2.162.431D
DB00255	J2.801K
DB00255	J208.315I
DB00255	J343.884H
DB00255	J61.231F
DB00256	J51.487J
DB00257	J3.156I
DB00258	J1.225.700G
DB00258	J1.225.710D
DB00258	J1.279.081C
DB00258	J1.373.736C
DB00258	J1.427.954G
DB00258	J1.450.555E
DB00258	J1.579.803C
DB00258	J1.804.816G
DB00258	J1.834.496C
DB00258	J193.119I
DB00258	J2.110.666F
DB00258	J2.134.526A
DB00258	J2.171.404F
DB00258	J2.355H
DB00258	J2.477.700F
DB00258	J2.758.570A
DB00258	J203.447F
DB00258	J209.470C
DB00258	J264.800H
DB00258	J3.150.090G
DB00258	J366.493G
DB00258	J4.823B
DB00258	J425.393K
DB00258	J441.057B
DB00258	J461.940D
DB00258	J643.972A
DB00259	J4.829A
DB00260	J60.873D
DB00260	J71.275B
DB00260	J8.592H
DB00262	J2.968H
DB00263	J4.409A
DB00264	J239.291G
DB00264	J239.292E
DB00264	J31.137E
DB00265	J2.055I
DB00265	J28.784I
DB00265	J426.709E
DB00266	J4.845C
DB00267	J19.799H
DB00267	J68.571B
DB00268	J264.965I
DB00269	J6.531E
DB00270	J22.918K
DB00270	J33.142B
