drugbank_id	lipidmaps_id
DB05804	LMST05020010
DB05974	LMPR0104010020
DB06117	LMST03010062
DB06253	LMFA01130001
DB06272	LMST03020060
DB06272	LMST03020061
DB06272	LMST03020062
DB06410	LMST03010028
DB06410	LMST03010069
DB06461	LMST05050024
DB06543	LMPR01070020
DB06543	LMPR01070263
DB06689	LMFA01030002
DB06689	LMFA01030073
DB06710	LMST02020029
DB06743	LMPR0104540001
DB06744	LMPR0104540002
DB06745	LMPR0104540003
DB06746	LMPR0104540004
DB06755	LMPR01070001
DB06774	LMFA08020085
DB06777	LMST04010032
DB06777	LMST04010033
DB06777	LMST04010034
DB06777	LMST04010035
DB06777	LMST04010036
DB06777	LMST04010037
DB06777	LMST04010038
DB06777	LMST04010039
DB06788	LMFA01010002
DB06826	LMFA03010204
DB06894	LMFA05000001
DB06903	LMPR0103890004
DB06926	LMFA02000035
DB06926	LMFA02000154
DB06926	LMFA02000155
DB06926	LMFA02000190
DB06926	LMFA02000228
DB06960	LMSP02010014
DB07111	LMFA04000024
DB07172	LMFA03070010
DB07172	LMFA03070027
DB07177	LMFA03010030
DB07177	LMFA03110009
DB07302	LMFA02000036
DB07302	LMFA02000151
DB07302	LMFA02000152
DB07302	LMFA02000187
DB07302	LMFA02000188
DB07302	LMFA02000318
DB07352	LMPK12110005
DB07375	LMST02020058
DB07375	LMST02020085
DB07447	LMST02020042
DB07447	LMST02020069
DB07500	LMPK12120046
DB07517	LMFA01150004
DB07557	LMST02030146
DB07557	LMST02030170
DB07645	LMFA01170006
DB07650	LMFA07010408
DB07702	LMST02010003
DB07702	LMST02010006
DB07702	LMST02010045
DB07702	LMST02010049
DB07703	LMPK04000034
DB07706	LMST02010027
DB07715	LMPK13040008
DB07768	LMST02020002
DB07768	LMST02020051
DB07776	LMPK12110097
DB07780	LMPR0103010002
DB07780	LMPR0103010009
DB07780	LMPR0103010010
DB07780	LMPR0103010011
DB07795	LMPK12111566
DB07810	LMPK12120525
DB07814	LMPR0104170002
DB07815	LMPR0104170021
DB07841	LMPR0104010001
DB07841	LMPR0104010003
DB07841	LMPR0104010013
DB07893	LMFA08020199
DB07907	LMFA01050020
DB07907	LMFA01050313
DB07928	LMFA08030035
DB07930	LMFA01050037
DB07930	LMFA01050251
DB07930	LMFA01050252
DB08081	LMFA08030004
DB08120	LMFA08010014
DB08120	LMFA08010019
DB08230	LMPK12110847
DB08231	LMFA01010014
DB08324	LMFA08030001
DB08399	LMPK13090006
DB08435	LMFA03010021
DB08435	LMFA03110105
DB08466	LMPK13090035
DB08517	LMPK12140571
DB08542	LMST02020062
DB08688	LMFA12000002
DB08809	LMFA01090070
DB08833	LMST05040005
DB08833	LMST05040015
DB08842	LMFA07070049
DB08842	LMFA07070050
DB08842	LMFA07070060
DB08855	LMFA03020003
DB08855	LMFA03020020
DB08858	LMST05030001
DB08858	LMST05030007
DB08887	LMFA07010877
DB08921	LMPR0102090002
DB08921	LMPR0102090013
DB08956	LMST02030134
DB08995	LMPK12110814
DB09015	LMST02030154
DB09061	LMPK13120001
DB09072	LMFA01050006
DB09093	LMPK07000004
DB09114	LMGP01010564
DB09120	LMFA08020085
DB09270	LMPR02010001
DB09357	LMFA08020198
DB09389	LMST02030119
DB09395	LMFA01010002
DB09409	LMFA01010002
DB09494	LMFA05000061
DB11117	LMFA01030036
DB11176	LMPR01070013
DB11176	LMPR01070261
DB11176	LMPR01070288
DB11176	LMPR01070289
DB11220	LMFA05000003
DB11231	LMPR01070257
DB11250	LMGL01010003
DB11259	LMPK12110824
DB11263	LMPK13090012
DB11283	LMGP01010477
DB11284	LMGP04010005
DB11288	LMPR0102120003
DB11288	LMPR0102120004
DB11290	LMFA01010018
DB11318	LMGP01030017
DB11331	LMGP04010002
DB11331	LMGP04010987
DB11344	LMPR0102090001
DB11344	LMPR0102090003
DB11344	LMPR0102090057
DB11345	LMPR0102120001
DB11423	LMPK09000002
DB11442	LMPK04000007
