drugbank_id	actor_id
DB00373	69267-58-9
DB00373	73788-01-9
DB00373	74335-22-1
DB00373	91524-16-2
DB00374	289480-64-4
DB00374	81846-19-7
DB00376	144-11-6
DB00376	30953-85-6
DB00376	30953-86-7
DB00376	35783-05-2
DB00376	52-49-3
DB00376	58947-95-8
DB00376	79173-11-8
DB00377	135729-56-5
DB00377	135729-61-2
DB00377	135729-62-3
DB00378	1162-56-7
DB00378	152-62-5
DB00379	31828-71-4
DB00379	5370-01-4
DB00379	94991-72-7
DB00379	94991-73-8
DB00380	149003-01-0
DB00380	21416-67-1
DB00380	21416-87-5
DB00380	24584-09-6
DB00380	24613-06-7
DB00381	88150-42-9
DB00382	1684-40-8
DB00382	321-64-2
DB00383	125-52-0
DB00383	125-53-1
DB00384	130007-53-3
DB00384	14124-50-6
DB00384	396-01-0
DB00384	61356-20-5
DB00384	63764-56-7
DB00384	75934-75-7
DB00384	75945-58-3
DB00385	136816-53-0
DB00385	56124-62-0
DB00387	107661-03-0
DB00387	1508-76-5
DB00387	30953-82-3
DB00387	30953-83-4
DB00387	30953-84-5
DB00387	37335-54-9
DB00387	77-37-2
DB00387	81827-35-2
DB00388	120806-32-8
DB00388	13998-27-1
DB00388	1416-03-1
DB00388	1477-63-0
DB00388	154-86-9
DB00388	17162-39-9
DB00388	20368-45-0
DB00388	50741-76-9
DB00388	51004-30-9
DB00388	532-38-7
DB00388	58660-10-9
DB00388	59-42-7
DB00388	61-76-7
DB00388	614-03-9
DB00388	63550-80-1
DB00388	66510-07-4
DB00388	78393-43-8
DB00388	79329-85-4
DB00388	83097-12-5
DB00388	87453-66-5
DB00388	939-38-8
DB00388	93963-54-3
DB00389	22232-54-8
DB00390	11000-95-6
DB00390	11003-65-9
DB00390	20830-75-5
DB00390	61216-25-9
DB00391	15676-16-1
DB00391	23672-07-3
DB00391	23694-14-6
DB00391	53803-79-5
DB00391	54289-23-5
DB00391	55247-89-7
DB00391	72306-56-0
DB00391	72306-57-1
DB00391	72306-58-2
DB00391	76403-98-0
DB00392	1094-08-2
DB00392	42957-54-0
DB00392	522-00-9
