drugbank_id	surechembl_id
DB00132	SCHEMBL1173186
DB00132	SCHEMBL1173187
DB00132	SCHEMBL11790080
DB00132	SCHEMBL11790085
DB00132	SCHEMBL1182232
DB00132	SCHEMBL1233415
DB00132	SCHEMBL12470710
DB00132	SCHEMBL1255468
DB00132	SCHEMBL12903692
DB00132	SCHEMBL1331592
DB00132	SCHEMBL14126286
DB00132	SCHEMBL14576897
DB00132	SCHEMBL14716265
DB00132	SCHEMBL15282
DB00132	SCHEMBL15469126
DB00132	SCHEMBL15469202
DB00132	SCHEMBL16115069
DB00132	SCHEMBL1623139
DB00132	SCHEMBL1623896
DB00132	SCHEMBL1623943
DB00132	SCHEMBL16915309
DB00132	SCHEMBL17077994
DB00132	SCHEMBL17077995
DB00132	SCHEMBL1759182
