drugbank_id	drugcentral_id
DB01594	656
DB01595	1945
DB01597	640
DB01598	1426
DB01599	2269
DB01600	2652
DB01601	1601
DB01602	280
DB01603	1744
DB01604	2218
DB01605	2219
DB01606	2572
DB01607	2656
DB01608	2107
DB01609	3128
DB01610	2801
DB01611	1395
DB01613	1047
DB01614	73
DB01615	50
DB01616	142
DB01618	1830
DB01619	2129
DB01620	2132
DB01622	2635
DB01623	2639
DB01624	2877
DB01624	4397
DB01625	1500
DB01626	2065
DB01627	1582
DB01628	1113
DB01638	2462
DB01638	935
DB01656	3531
DB01677	3229
DB01685	4888
DB01687	1535
DB01687	1628
DB01694	2566
DB01698	3535
DB01703	4277
DB01708	795
DB01718	3082
DB01739	4129
DB01744	470
DB01746	1557
DB01759	3977
DB01783	2055
DB01786	4255
DB01786	4306
DB01839	4024
DB01885	5144
DB01912	4568
DB01956	4486
DB02013	4277
DB02032	484
DB02061	1535
DB02061	1628
DB02097	770
DB02159	4024
DB02161	1379
DB02174	1311
DB02176	4211
DB02228	4455
DB02262	3402
DB02266	1193
DB02280	1629
DB02285	3500
DB02300	465
DB02317	3265
DB02325	4215
DB02329	493
DB02362	2049
DB02379	1271
DB02379	845
DB02383	2704
DB02507	2847
DB02513	4258
DB02517	1310
DB02520	931
DB02530	1262
DB02546	4124
DB02556	2144
DB02561	1252
DB02626	4277
DB02638	2967
DB02640	3253
DB02648	513
DB02655	1550
DB02659	3096
DB02665	2715
DB02678	1307
DB02701	1906
DB02703	1261
DB02731	4856
DB02743	1535
DB02743	1628
DB02750	769
DB02772	4610
DB02831	4478
DB02843	3265
DB02846	2670
DB02853	4125
DB02867	3265
DB02893	3347
DB02901	3927
DB02925	2201
DB02932	367
DB02955	3527
DB02959	4006
DB02994	3058
DB03006	3549
DB03017	4642
DB03034	1569
DB03034	1981
DB03054	405
DB03066	1533
DB03085	4645
DB03106	1444
DB03109	4615
DB03125	2755
DB03128	65
DB03151	4260
DB03166	4211
DB03175	4332
DB03193	4611
DB03201	769
