drugbank_id	fdasrs_id
DB00410	870F25Y7EK
DB00410	D0GX863OA5
DB00410	RG38I2P540
DB00411	54Z8M50D6Q
DB00411	8Y164V895Y
DB00412	0VA3JGG6TM
DB00412	17KQX8S0AP
DB00412	3U8PBH2BON
DB00412	6L2K7RBQ5H
DB00413	3D867NP06J
DB00413	4R2HD0M28N
DB00413	795J01AE70
DB00413	83619PEU5T
DB00413	I9038PKO43
DB00413	WI638GUS96
DB00414	QGC8W08I6I
DB00415	7C782967RD
DB00415	8A67A5BM29
DB00415	E1TD7AM884
DB00415	HXQ6A1N7R6
DB00415	JFN36L5S8K
DB00415	QX84OZZ2XK
DB00415	SFV84J2559
DB00415	SXU8YTQ4S4
DB00416	09G4I6V86Q
DB00416	0O224LNG2M
DB00416	1526IW77GM
DB00416	15BE4G33H2
DB00416	4GC1FOQ22U
DB00416	4U541R2E6L
DB00416	505TLP46J6
DB00416	5TY3055J2U
DB00416	694C0EFT9Q
DB00416	98QPV8670C
DB00416	9BV8610D7E
DB00416	EK557FCO82
DB00416	N37KB761Z5
DB00416	O0U0E87X7F
DB00416	QTO9S95T6L
DB00416	T98FI7Y8K4
DB00416	U6R26MK0LQ
DB00416	V0M92G2U26
DB00416	V1UJ6I93CL
DB00417	0O9M95L1H0
DB00417	146T0TU1JB
DB00417	3750YH4NM7
DB00417	3RGQ4B6E87
DB00417	3T4EMH59ZU
DB00417	44MHH77OIC
DB00417	8T7T79P87L
DB00417	Z61I075U2W
DB00418	FG3SCI1960
DB00418	HX75939EI7
DB00419	ADN3S497AZ
DB00419	GVS3YDM418
DB00420	C09N9Q6M32
DB00420	M4011G9T8I
DB00420	O9M39HTM5W
DB00420	U16EOR79U4
DB00421	27O7W4T232
DB00422	1678OK0E08
DB00422	IS6UTS8ES9
DB00422	M32RH9MFGP
DB00425	7K383OQI23
DB00425	WY6W63843K
DB00426	QIC03ANI02
DB00427	2L8T9S52QM
DB00427	B9ORI0F7FI
DB00427	NG7A104R3J
DB00427	YAN7R5L890
DB00428	0G5XQ5N8KS
DB00428	8H27GUR065
DB00429	023C2WHX2V
DB00429	7B5032XT6O
DB00429	U4526F86FJ
DB00430	137KB7GYKB
DB00430	P936YA152N
DB00431	59NEE7PCAB
DB00431	YM80ODM9PD
DB00431	YV2D256Z3N
DB00432	RMW9V5RW38
DB00433	531SH87H9N
DB00433	I1T8O1JTL6
DB00433	PG20W5VQZS
DB00433	YHP6YLT61T
DB00434	0S9323MCT0
DB00434	2YHB6175DO
DB00434	43106T5KXT
DB00434	HLP0A2XOL9
DB00434	NJ82J0F8QC
DB00434	X25TBW2YFJ
DB00434	XE931AC6AQ
DB00434	XK14HG3ANJ
DB00434	Z7L8L2CX3Y
DB00435	31C4KY9ESH
DB00436	8G2L3JUW5S
DB00436	VNN1HL1LXR
DB00437	428673RC2Z
DB00437	63CZ7GJN5I
DB00438	8ORW199D1G
DB00438	9M416Z9QNR
DB00438	CMC30V039K
DB00438	DZR1ENT301
DB00438	UU1494IX6R
DB00439	6Q18G1060S
DB00439	AM91H2KS67
DB00440	9XE000OU9B
DB00440	AN164J8Y0X
DB00440	E377MF8EQ8
DB00440	PS26L9KNKA
DB00441	B76N6SBZ8R
DB00442	5968Y6H45M
DB00442	92A92XBK4S
DB00442	NNU2O4609D
DB00443	7S5I7G3JQL
DB00443	9842X06Q6M
DB00444	957E6438QA
