chebi	drugbank
46068	DB04503
3374	DB06774
251412	DB00546
15873	DB02657
9334	DB00795
3216	DB00921
16480	DB00435
16675	DB01796
10642	DB03106
5615	DB01159
17630	DB01172
16632	DB02130
17287	DB13191
30796	DB03499
28052	DB00414
31205	DB01025
30751	DB01942
10782	DB15289
18404	DB03454
59141	DB13469
39585	DB00190
57476	DB04193
28837	DB04519
36229	DB04116
15533	DB02910
8713	DB00881
17407	DB07780
53770	DB01615
17241	DB02757
355510	DB00229
15776	DB03313
53621	DB14197
3654	DB00310
16929	DB03484
30769	DB04272
31414	DB01013
17303	DB00295
41189	DB01955
16414	DB00161
17252	DB14570
3988	DB04838
17113	DB04481
2922	DB00995
27617	DB11430
9587	DB01607
28099	DB02304
33629	DB01370
10125	DB00425
473990	DB00442
17688	DB00184
38677	DB11408
43577	DB03548
15978	DB02515
36795	DB00476
2877	DB00168
15903	DB02379
42090	DB03278
47821	DB03144
2972	DB00181
34918	DB11071
16057	DB01785
30763	DB04242
27632	DB04619
57912	DB00150
9774	DB01199
17754	DB09462
16533	DB04537
3605	DB14658
3720	DB00604
9546	DB11590
48213	DB13908
16217	DB04564
27704	DB04132
412516	DB12298
17621	DB03247
27961	DB03852
16238	DB03147
59540	DB03606
8768	DB01129
160246	DB01424
38945	DB11497
52427	DB13337
24814	DB12881
472552	DB12028
43786	DB02470
28972	DB02159
26689	DB09140
9738	DB00726
27779	DB00400
9337	DB06147
174690	DB01407
161680	DB00355
3089	DB13028
3614	DB00878
575568	DB01117
37945	DB13270
18224	DB14188
3131	DB04813
35553	DB01074
44480	DB08296
31980	DB00556
37788	DB01962
119915	DB00813
43711	DB08120
4911	DB00773
53753	DB13038
45412	DB04778
15544	DB00770
8357	DB09345
38545	DB01098
16243	DB04216
30429	DB11659
39455	DB06826
44722	DB03354
9130	DB01236
7820	DB00621
30365	DB13984
53459	DB14187
8887	DB00533
30703	DB05088
364453	DB00821
34393	DB11121
43945	DB14078
74619	DB11617
74725	DB01995
61397	DB11828
145407	DB11462
145428	DB11978
145499	DB00843
131168	DB11648
91780	DB13227
92579	DB00514
92607	DB00353
95089	DB11743
92923	DB01180
93004	DB07692
94291	DB05448
94295	DB06179
94311	DB12332
94373	DB11675
94434	DB08980
142469	DB01701
143782	DB08807
27607	DB02513
53654	DB14725
7573	DB00665
4788	DB01228
28544	DB01396
44052	DB03976
60072	DB01613
28177	DB00277
59224	DB00050
17456	DB01692
3398	DB00748
5775	DB01275
33070	DB02740
9212	DB01208
16660	DB03430
38291	DB11512
8249	DB00554
338412	DB07374
17698	DB00446
37084	DB15344
30065	DB15429
2710	DB01524
5855	DB01050
15746	DB00127
5779	DB00956
28229	DB11815
8430	DB00721
106738	DB07778
15396	DB01744
18820	DB03720
17609	DB14539
31206	DB06767
156095	DB06708
49073	DB09348
27568	DB11135
27891	DB04370
102130	DB01581
58045	DB00167
17489	DB02527
31348	DB01101
28814	DB08399
49028	DB02736
60782	DB11519
62823	DB14199
32888	DB00431
35812	DB11446
3219	DB01156
149836	DB00560
51793	DB04143
57595	DB00117
5613	DB00502
15738	DB02010
27812	DB12697
18420	DB01378
17705	DB02501
15956	DB00121
6438	DB01210
15765	DB01235
27573	DB12982
4710	DB01142
16089	DB04070
15882	DB03255
238698	DB01295
126598	DB00587
17345	DB01972
29780	DB02793
4042	DB13721
9939	DB01339
16522	DB11337
8802	DB00899
48520	DB06393
61092	DB01571
48390	DB01012
18418	DB12779
17306	DB03323
9254	DB14077
5818	DB00557
6908	DB11473
3423	DB00262
17013	DB01643
16656	DB01874
17509	DB02282
